Project,2024-04-15 15:30:48,2024-04-15 17:28:22,1.96,sys obs slack int
Study,2024-04-16 06:24:52,2024-04-16 06:59:19,0.57,stack and heap memory
Project,2024-04-18 16:00:00,2024-04-18 18:24:33,2.41,time entries redux
Project,2024-04-19 12:16:03,2024-04-19 13:55:13,1.65,time entries redux
Project,2024-04-19 13:55:29,2024-04-19 14:22:32,0.45,setup X220
Study,2024-04-20 11:36:53,2024-04-20 14:00:00,2.39,stack and heap memory
Study,2024-04-20 14:00:00,2024-04-20 14:26:24,0.44,bitwise operators
Project,2024-04-21 14:05:49,2024-04-21 17:07:15,3.02,activities integration
Project,2024-04-21 17:15:54,2024-04-21 17:35:58,0.33,waybar tweaks
Project,2024-04-22 15:47:38,2024-04-22 16:52:44,1.08,parse time entry dates script
Blogging,2024-04-23 15:00:00,2024-04-23 16:21:04,1.35,N2T unit two
Project,2024-04-23 16:21:21,2024-04-23 17:41:21,1.33,parse time entry dates script
Blogging,2024-04-24 16:15:24,2024-04-24 17:46:34,1.52,N2T unit two
Project,2024-04-25 15:00:00,2024-04-25 17:46:21,2.77,sys obs style tweaks
Project,2024-04-25 17:59:41,2024-04-25 18:17:55,0.3,sys obs style tweaks
Project,2024-04-26 06:55:16,2024-04-26 07:46:44,0.86,sys obs style tweaks
Project,2024-04-26 08:06:52,2024-04-26 14:17:20,6.17,parse time entry dates script
Project,2024-04-26 14:57:13,2024-04-26 15:16:29,0.32,time entries redux
Project,2024-04-26 15:37:56,2024-04-26 16:39:01,1.02,time entries redux
Study,2024-04-28 10:00:00,2024-04-28 13:22:03,3.37,procedural notes on recent learning
Study,2024-04-28 16:08:49,2024-04-28 16:54:05,0.75,procedural notes on recent learning
Gruvbox95 Raleigh fork,2024-04-28 16:54:27,2024-04-28 19:20:18,2.43,Project
Blogging,2024-04-29 06:00:00,2024-04-29 06:44:52,0.75,N2T unit two
Project,2024-04-29 15:00:00,2024-04-29 17:01:38,2.03,extract TimeWarrior time entries script
Project,2024-04-29 17:02:05,2024-04-29 17:48:37,0.78,sys obs style tweaks
Blogging,2024-04-30 06:00:00,2024-04-30 06:54:52,0.91,N2T unit two
Project,2024-04-30 15:55:27,2024-04-30 18:14:52,2.32,install xcfe
Blogging,2024-05-02 06:24:14,2024-05-02 06:53:51,0.49,N2T unit two
Blogging,2024-05-03 07:13:44,2024-05-03 09:14:41,2.02,N2T unit two
Project,2024-05-03 09:17:54,2024-05-03 09:18:58,0.02,extract TimeWarrior time entries script
Project,2024-05-03 09:20:24,2024-05-03 09:43:36,0.39,extract TimeWarrior time entries script
Project,2024-05-03 12:37:56,2024-05-03 12:41:32,0.06,extract TimeWarrior time entries script
Project,2024-05-03 12:47:20,2024-05-03 12:49:56,0.04,extract TimeWarrior time entries script
Project,2024-05-03 12:50:44,2024-05-03 12:55:49,0.08,extract TimeWarrior time entries script
Project,2024-05-03 13:04:28,2024-05-03 13:04:37,0.0,extract TimeWarrior time entries script
Project,2024-05-03 13:04:37,2024-05-03 13:11:56,0.12,extract TimeWarrior time entries script
Project,2024-05-03 13:25:39,2024-05-03 15:29:15,2.06,time entries redux
Project,2024-05-07 17:42:27,2024-05-08 20:08:20,26.43,backup root
Project,2024-05-09 06:20:07,2024-05-09 06:37:31,0.29,backup root
Study,2024-05-09 06:37:45,2024-05-09 07:17:39,0.67,revise electronics notes
Blogging,2024-05-10 07:00:00,2024-05-10 10:46:23,3.77,N2T unit two
Project,2024-05-10 13:43:01,2024-05-10 13:43:06,0.0,backup root
Project,2024-05-10 13:43:15,2024-05-10 16:11:49,2.48,time entries redux
Study,2024-05-12 09:53:54,2024-05-12 11:49:15,1.92,revise electronics notes
Project,2024-05-12 12:40:43,2024-05-12 13:22:31,0.7,time entries redux
Project,2024-05-12 13:35:51,2024-05-12 14:16:38,0.68,time entries redux
Project,2024-05-12 15:31:17,2024-05-12 15:31:46,0.01,time entries redux
Project,2024-05-12 15:31:46,2024-05-12 15:32:15,0.01,time entries redux
Project,2024-05-12 15:32:15,2024-05-12 15:33:44,0.02,time entries redux
Project,2024-05-12 15:42:51,2024-05-12 16:54:32,1.19,time entries redux
Project,2024-05-12 16:54:32,2024-05-12 18:59:51,2.09,time entries redux
Blogging,2024-05-13 06:00:00,2024-05-13 07:00:00,1.0,N2T unit two
Project,2024-05-13 15:59:02,2024-05-13 17:13:56,1.25,time entries redux
Blogging,2024-05-14 06:14:16,2024-05-14 06:56:31,0.7,N2T unit two
Study,2024-05-15 06:18:18,2024-05-15 06:25:17,0.12,alter electronics notes
Blogging,2024-05-15 06:25:34,2024-05-15 06:50:57,0.42,N2T unit two
Blogging,2024-05-16 06:00:08,2024-05-16 06:02:21,0.04,N2T unit two
Study,2024-05-16 06:02:50,2024-05-16 06:51:50,0.82,revise electronics notes
ALU,2024-05-17 07:23:58,2024-05-17 08:27:25,1.06,Study
Blogging,2024-05-20 16:01:49,2024-05-20 16:25:51,0.4,N2T unit two
Blogging,2024-05-20 16:39:52,2024-05-20 17:51:07,1.19,N2T unit two
Study,2024-05-21 06:15:00,2024-05-21 07:00:00,0.75,electronics book
Blogging,2024-05-21 18:06:57,2024-05-21 18:44:43,0.63,N2T unit two
Blogging,2024-05-22 06:12:27,2024-05-22 06:45:54,0.56,N2T unit two
Study,2024-05-22 15:48:08,2024-05-22 17:30:44,1.71,practical electronics exercises
Blog,2024-05-22 19:32:48,2024-05-22 20:03:06,0.51,electronics first circuit
Blog,2024-05-23 06:16:12,2024-05-23 07:04:44,0.81,electronics first circuit
Study,2024-05-23 19:30:00,2024-05-23 21:00:00,1.5,practical electronics
Blogging,2024-05-24 08:11:34,2024-05-24 11:18:59,3.12,N2T unit two
Project,2024-05-24 12:25:28,2024-05-24 13:15:36,0.84,time entries redux
Project,2024-05-24 13:15:36,2024-05-24 13:28:54,0.22,time entries redux
Project,2024-05-24 13:28:54,2024-05-24 13:29:33,0.01,time entries redux
Project,2024-05-24 13:29:33,2024-05-24 13:33:04,0.06,time entries redux
Project,2024-05-24 13:33:04,2024-05-24 14:37:49,1.08,time entries redux
Project,2024-05-24 14:37:49,2024-05-24 14:43:44,0.1,time entries redux
Project,2024-05-24 14:43:44,2024-05-24 14:47:06,0.06,time entries redux
Project,2024-05-24 14:47:06,2024-05-24 14:51:42,0.08,time entries redux
