activity_start_end,activity_type,start,end,duration,description
Project_2023-12-14T20:17:20Z_2023-12-14T20:50:12Z,Project,2023-12-14T20:17:20Z,2023-12-14T20:50:12Z,0.55,refactor code metrics FE
Project_2023-12-15T18:15:39Z_2023-12-15T19:13:52Z,Project,2023-12-15T18:15:39Z,2023-12-15T19:13:52Z,0.97,refactor code metrics FE
Project_2023-12-17T16:36:33Z_2023-12-17T19:42:23Z,Project,2023-12-17T16:36:33Z,2023-12-17T19:42:23Z,3.1,refactor code metrics FE
Project_2023-12-17T20:23:25Z_2023-12-17T20:23:27Z,Project,2023-12-17T20:23:25Z,2023-12-17T20:23:27Z,0.0,refactor code metrics FE
Project_2023-12-18T16:40:11Z_2023-12-18T18:30:38Z,Project,2023-12-18T16:40:11Z,2023-12-18T18:30:38Z,1.84,refactor code metrics FE
Exercise_2023-12-18T20:39:50Z_2023-12-18T21:16:39Z,Exercise,2023-12-18T20:39:50Z,2023-12-18T21:16:39Z,0.61,advent of code (python)
Exercise_2023-12-19T17:26:17Z_2023-12-19T18:20:52Z,Exercise,2023-12-19T17:26:17Z,2023-12-19T18:20:52Z,0.91,advent of code (python)
Project_2023-12-19T18:22:12Z_2023-12-19T18:44:42Z,Project,2023-12-19T18:22:12Z,2023-12-19T18:44:42Z,0.38,refactor code metrics FE
Project_2023-12-20T16:22:32Z_2023-12-20T18:00:32Z,Project,2023-12-20T16:22:32Z,2023-12-20T18:00:32Z,1.63,refactor code metrics FE
Project_2023-12-21T18:22:26Z_2023-12-21T19:58:06Z,Project,2023-12-21T18:22:26Z,2023-12-21T19:58:06Z,1.59,refactor code metrics FE
Project_2023-12-22T13:21:55Z_2023-12-22T13:42:10Z,Project,2023-12-22T13:21:55Z,2023-12-22T13:42:10Z,0.34,refactor code metrics FE
Project_2023-12-26T19:45:41Z_2023-12-26T20:58:23Z,Project,2023-12-26T19:45:41Z,2023-12-26T20:58:23Z,1.21,refactor code metrics FE
Exercise_2023-12-27T11:22:23Z_2023-12-27T12:34:55Z,Exercise,2023-12-27T11:22:23Z,2023-12-27T12:34:55Z,1.21,advent of code (python)
Exercise_2023-12-27T12:37:21Z_2023-12-27T12:48:08Z,Exercise,2023-12-27T12:37:21Z,2023-12-27T12:48:08Z,0.18,advent of code (python)
Project_2023-12-27T14:55:36Z_2023-12-27T15:48:00Z,Project,2023-12-27T14:55:36Z,2023-12-27T15:48:00Z,0.87,refactor code metrics FE
Project_2023-12-27T17:21:34Z_2023-12-27T21:21:34Z,Project,2023-12-27T17:21:34Z,2023-12-27T21:21:34Z,4.0,refactor code metrics FE
Exercise_2023-12-28T10:30:32Z_2023-12-28T11:45:00Z,Exercise,2023-12-28T10:30:32Z,2023-12-28T11:45:00Z,1.24,advent of code (python)
Project_2023-12-28T13:31:03Z_2023-12-28T14:45:18Z,Project,2023-12-28T13:31:03Z,2023-12-28T14:45:18Z,1.24,refactor code metrics FE
Project_2023-12-30T17:00:34Z_2023-12-30T18:25:34Z,Project,2023-12-30T17:00:34Z,2023-12-30T18:25:34Z,1.42,refactor code metrics FE
Blogging_2023-12-30T18:27:47Z_2023-12-30T18:32:22Z,Blogging,2023-12-30T18:27:47Z,2023-12-30T18:32:22Z,0.08,Meridian project update
Project_2023-12-30T18:32:25Z_2023-12-30T18:37:19Z,Project,2023-12-30T18:32:25Z,2023-12-30T18:37:19Z,0.08,refactor code metrics FE
Exercise_2023-12-31T14:43:51Z_2023-12-31T15:51:46Z,Exercise,2023-12-31T14:43:51Z,2023-12-31T15:51:46Z,1.13,advent of code (python)
Project_2023-12-31T16:25:19Z_2023-12-31T17:47:15Z,Project,2023-12-31T16:25:19Z,2023-12-31T17:47:15Z,1.37,refactor code metrics FE
Exercise_2024-01-01T14:41:29Z_2024-01-01T15:42:02Z,Exercise,2024-01-01T14:41:29Z,2024-01-01T15:42:02Z,1.01,advent of code (python)
