activity_start_end,activity_type,start,end,duration,description
Study_2023-09-13T07:32:16Z_2023-09-13T08:45:00Z,Study,2023-09-13T07:32:16Z,2023-09-13T08:45:00Z,1.21,list comprehension in python
Project_2023-09-18T19:00:00Z_2023-09-18T20:15:00Z,Project,2023-09-18T19:00:00Z,2023-09-18T20:15:00Z,1.25,refactor saved-articles-lambda
Study_2023-09-19T07:21:39Z_2023-09-19T09:00:00Z,Study,2023-09-19T07:21:39Z,2023-09-19T09:00:00Z,1.64,testing in python
Project_2023-09-19T20:39:03Z_2023-09-19T21:06:48Z,Project,2023-09-19T20:39:03Z,2023-09-19T21:06:48Z,0.46,refactor saved-articles-lambda
Study_2023-09-20T14:09:06Z_2023-09-20T15:00:00Z,Study,2023-09-20T14:09:06Z,2023-09-20T15:00:00Z,0.85,testing in python
Project_2023-09-20T19:00:28Z_2023-09-20T22:09:07Z,Project,2023-09-20T19:00:28Z,2023-09-20T22:09:07Z,3.14,refactor saved-articles-lambda
Project_2023-09-21T19:09:38Z_2023-09-21T21:09:50Z,Project,2023-09-21T19:09:38Z,2023-09-21T21:09:50Z,2.0,add tests pocket lambda
Blogging_2023-09-21T21:10:02Z_2023-09-21T21:39:54Z,Blogging,2023-09-21T21:10:02Z,2023-09-21T21:39:54Z,0.5,pytest blog post
Blogging_2023-09-22T10:15:33Z_2023-09-22T10:30:05Z,Blogging,2023-09-22T10:15:33Z,2023-09-22T10:30:05Z,0.24,pytest blog post
Project_2023-09-22T10:30:35Z_2023-09-22T13:11:48Z,Project,2023-09-22T10:30:35Z,2023-09-22T13:11:48Z,2.69,refactor saved-articles-lambda
Project_2023-09-22T13:34:18Z_2023-09-22T13:55:56Z,Project,2023-09-22T13:34:18Z,2023-09-22T13:55:56Z,0.36,refactor saved-articles-lambda
Project_2023-09-22T13:55:59Z_2023-09-22T15:25:20Z,Project,2023-09-22T13:55:59Z,2023-09-22T15:25:20Z,1.49,add tests pocket lambda
Project_2023-09-23T12:00:02Z_2023-09-23T15:38:21Z,Project,2023-09-23T12:00:02Z,2023-09-23T15:38:21Z,3.64,add tests pocket lambda
Project_2023-09-23T15:49:58Z_2023-09-23T16:28:37Z,Project,2023-09-23T15:49:58Z,2023-09-23T16:28:37Z,0.64,toggl lambda
Project_2023-09-23T17:42:21Z_2023-09-23T18:24:16Z,Project,2023-09-23T17:42:21Z,2023-09-23T18:24:16Z,0.7,toggl lambda
