activity_start_end,activity_type,start,end,duration,description
Project_2023-09-24T18:54:10Z_2023-09-24T22:36:30Z,Project,2023-09-24T18:54:10Z,2023-09-24T22:36:30Z,3.71,toggl lambda
Project_2023-09-25T07:00:00Z_2023-09-25T07:53:54Z,Project,2023-09-25T07:00:00Z,2023-09-25T07:53:54Z,0.9,toggl lambda
Project_2023-09-25T18:26:56Z_2023-09-25T21:30:10Z,Project,2023-09-25T18:26:56Z,2023-09-25T21:30:10Z,3.05,toggl lambda
Blogging_2023-09-25T21:30:25Z_2023-09-25T21:37:28Z,Blogging,2023-09-25T21:30:25Z,2023-09-25T21:37:28Z,0.12,systems obscure tweaks
Blogging_2023-09-26T13:41:32Z_2023-09-26T15:00:49Z,Blogging,2023-09-26T13:41:32Z,2023-09-26T15:00:49Z,1.32,systems obscure tweaks
Study_2023-09-26T18:40:14Z_2023-09-26T20:26:05Z,Study,2023-09-26T18:40:14Z,2023-09-26T20:26:05Z,1.76,Jest testing
Project_2023-09-26T20:52:29Z_2023-09-26T22:04:50Z,Project,2023-09-26T20:52:29Z,2023-09-26T22:04:50Z,1.21,toggl lambda
Project_2023-09-27T06:51:36Z_2023-09-27T07:55:46Z,Project,2023-09-27T06:51:36Z,2023-09-27T07:55:46Z,1.07,toggl lambda
Project_2023-09-27T20:26:10Z_2023-09-27T21:45:10Z,Project,2023-09-27T20:26:10Z,2023-09-27T21:45:10Z,1.32,toggl lambda
Study_2023-09-28T07:03:21Z_2023-09-28T08:00:00Z,Study,2023-09-28T07:03:21Z,2023-09-28T08:00:00Z,0.94,exception handling in Python
Study_2023-09-29T07:56:33Z_2023-09-29T08:15:24Z,Study,2023-09-29T07:56:33Z,2023-09-29T08:15:24Z,0.31,technical articles
Study_2023-09-29T08:15:39Z_2023-09-29T09:42:48Z,Study,2023-09-29T08:15:39Z,2023-09-29T09:42:48Z,1.45,pytest
Project_2023-09-29T09:42:56Z_2023-09-29T10:38:13Z,Project,2023-09-29T09:42:56Z,2023-09-29T10:38:13Z,0.92,refactor saved-articles-lambda
Project_2023-09-29T11:00:00Z_2023-09-29T15:45:00Z,Project,2023-09-29T11:00:00Z,2023-09-29T15:45:00Z,4.75,refactor saved-articles-lambda
Project_2023-10-01T17:43:02Z_2023-10-01T18:00:00Z,Project,2023-10-01T17:43:02Z,2023-10-01T18:00:00Z,0.28,refactor saved-articles-lambda
Project_2023-10-01T18:55:45Z_2023-10-01T21:22:06Z,Project,2023-10-01T18:55:45Z,2023-10-01T21:22:06Z,2.44,refactor saved-articles-lambda
Blogging_2023-10-03T20:00:00Z_2023-10-03T21:15:00Z,Blogging,2023-10-03T20:00:00Z,2023-10-03T21:15:00Z,1.25,error handling blog post
Study_2023-10-05T19:35:20Z_2023-10-05T21:15:00Z,Study,2023-10-05T19:35:20Z,2023-10-05T21:15:00Z,1.66,Jest testing
Project_2023-10-05T21:15:00Z_2023-10-05T22:00:00Z,Project,2023-10-05T21:15:00Z,2023-10-05T22:00:00Z,0.75,refactor saved-articles-lambda
Project_2023-10-06T16:19:46Z_2023-10-06T17:30:00Z,Project,2023-10-06T16:19:46Z,2023-10-06T17:30:00Z,1.17,refactor saved-articles-lambda
Project_2023-10-06T18:26:06Z_2023-10-06T19:38:19Z,Project,2023-10-06T18:26:06Z,2023-10-06T19:38:19Z,1.2,refactor saved-articles-lambda
Study_2023-10-13T09:12:45Z_2023-10-13T11:27:29Z,Study,2023-10-13T09:12:45Z,2023-10-13T11:27:29Z,2.25,memory
Exercise_2023-10-13T11:27:43Z_2023-10-13T12:15:00Z,Exercise,2023-10-13T11:27:43Z,2023-10-13T12:15:00Z,0.79,advent of code python
Exercise_2023-10-15T16:02:50Z_2023-10-15T17:18:11Z,Exercise,2023-10-15T16:02:50Z,2023-10-15T17:18:11Z,1.26,advent of code python
Study_2023-10-15T17:18:28Z_2023-10-15T17:32:55Z,Study,2023-10-15T17:18:28Z,2023-10-15T17:32:55Z,0.24,typehinting python
Project_2023-10-15T19:55:16Z_2023-10-15T21:17:20Z,Project,2023-10-15T19:55:16Z,2023-10-15T21:17:20Z,1.37,refactor saved-articles-lambda
Study_2023-10-16T06:30:35Z_2023-10-16T06:58:35Z,Study,2023-10-16T06:30:35Z,2023-10-16T06:58:35Z,0.47,CPU
Project_2023-10-16T07:03:29Z_2023-10-16T08:00:00Z,Project,2023-10-16T07:03:29Z,2023-10-16T08:00:00Z,0.94,activities lambda
Blogging_2023-10-16T17:20:58Z_2023-10-16T18:11:58Z,Blogging,2023-10-16T17:20:58Z,2023-10-16T18:11:58Z,0.85,systems obscure edits
Project_2023-10-19T15:34:03Z_2023-10-19T15:38:59Z,Project,2023-10-19T15:34:03Z,2023-10-19T15:38:59Z,0.08,refactor saved-articles-lambda
Project_2023-10-19T15:39:01Z_2023-10-19T17:33:51Z,Project,2023-10-19T15:39:01Z,2023-10-19T17:33:51Z,1.91,activities lambda
Study_2023-10-20T10:30:27Z_2023-10-20T12:00:00Z,Study,2023-10-20T10:30:27Z,2023-10-20T12:00:00Z,1.49,AWS step functions
Project_2023-10-20T13:35:09Z_2023-10-20T14:59:32Z,Project,2023-10-20T13:35:09Z,2023-10-20T14:59:32Z,1.41,activities lambda
Project_2023-10-20T18:23:18Z_2023-10-20T20:01:35Z,Project,2023-10-20T18:23:18Z,2023-10-20T20:01:35Z,1.64,activities lambda
Project_2023-10-22T17:31:16Z_2023-10-22T19:24:31Z,Project,2023-10-22T17:31:16Z,2023-10-22T19:24:31Z,1.89,activities lambda
Study_2023-10-23T06:46:31Z_2023-10-23T06:56:52Z,Study,2023-10-23T06:46:31Z,2023-10-23T06:56:52Z,0.17,CPU
Project_2023-10-23T06:56:54Z_2023-10-23T07:29:59Z,Project,2023-10-23T06:56:54Z,2023-10-23T07:29:59Z,0.55,activities lambda
Project_2023-10-23T20:26:55Z_2023-10-23T21:05:54Z,Project,2023-10-23T20:26:55Z,2023-10-23T21:05:54Z,0.65,activities lambda
Study_2023-10-24T07:26:30Z_2023-10-24T08:15:30Z,Study,2023-10-24T07:26:30Z,2023-10-24T08:15:30Z,0.82,CPU
Project_2023-10-24T19:26:03Z_2023-10-24T20:35:42Z,Project,2023-10-24T19:26:03Z,2023-10-24T20:35:42Z,1.16,activities lambda
Project_2023-10-26T18:00:00Z_2023-10-26T19:45:00Z,Project,2023-10-26T18:00:00Z,2023-10-26T19:45:00Z,1.75,activities lambda
Study_2023-10-27T08:02:41Z_2023-10-27T09:00:00Z,Study,2023-10-27T08:02:41Z,2023-10-27T09:00:00Z,0.96,aws open search
Blogging_2023-10-27T10:48:46Z_2023-10-27T12:22:21Z,Blogging,2023-10-27T10:48:46Z,2023-10-27T12:22:21Z,1.56,Jest blog post
Project_2023-10-27T18:47:44Z_2023-10-27T19:59:02Z,Project,2023-10-27T18:47:44Z,2023-10-27T19:59:02Z,1.19,activities lambda
Project_2023-10-30T17:54:40Z_2023-10-30T19:08:13Z,Project,2023-10-30T17:54:40Z,2023-10-30T19:08:13Z,1.23,refactor saved-articles-lambda
Blogging_2023-10-30T19:08:23Z_2023-10-30T20:30:23Z,Blogging,2023-10-30T19:08:23Z,2023-10-30T20:30:23Z,1.37,systems obscure style changes
Blogging_2023-10-31T16:30:00Z_2023-10-31T17:30:00Z,Blogging,2023-10-31T16:30:00Z,2023-10-31T17:30:00Z,1.0,blog on Jest routines
Project_2023-11-01T16:00:00Z_2023-11-01T18:00:00Z,Project,2023-11-01T16:00:00Z,2023-11-01T18:00:00Z,2.0,refactor saved-articles-lambda
Project_2023-11-02T17:30:00Z_2023-11-02T18:15:00Z,Project,2023-11-02T17:30:00Z,2023-11-02T18:15:00Z,0.75,refactor saved-articles-lambda
Study_2023-11-02T18:29:31Z_2023-11-02T19:35:29Z,Study,2023-11-02T18:29:31Z,2023-11-02T19:35:29Z,1.1,pytest
Project_2023-11-02T19:46:24Z_2023-11-02T20:45:00Z,Project,2023-11-02T19:46:24Z,2023-11-02T20:45:00Z,0.98,refactor saved-articles-lambda
Project_2023-11-03T08:56:09Z_2023-11-03T11:30:00Z,Project,2023-11-03T08:56:09Z,2023-11-03T11:30:00Z,2.56,refactor saved-articles-lambda
Project_2023-11-03T12:38:24Z_2023-11-03T14:11:30Z,Project,2023-11-03T12:38:24Z,2023-11-03T14:11:30Z,1.55,refactor saved-articles-lambda
Blogging_2023-11-05T14:22:48Z_2023-11-05T15:15:00Z,Blogging,2023-11-05T14:22:48Z,2023-11-05T15:15:00Z,0.87,blog on Jest routines
Project_2023-11-05T17:32:23Z_2023-11-05T19:44:08Z,Project,2023-11-05T17:32:23Z,2023-11-05T19:44:08Z,2.2,refactore code metrics lambda
Blogging_2023-11-06T16:47:46Z_2023-11-06T17:24:11Z,Blogging,2023-11-06T16:47:46Z,2023-11-06T17:24:11Z,0.61,blog on Jest routines
Project_2023-11-06T18:38:51Z_2023-11-06T19:34:11Z,Project,2023-11-06T18:38:51Z,2023-11-06T19:34:11Z,0.92,refactore code metrics lambda
Project_2023-11-08T18:32:58Z_2023-11-08T19:36:03Z,Project,2023-11-08T18:32:58Z,2023-11-08T19:36:03Z,1.05,add fetch client to lambdas
Project_2023-11-09T17:00:00Z_2023-11-09T18:00:00Z,Project,2023-11-09T17:00:00Z,2023-11-09T18:00:00Z,1.0,add fetch client to lambdas
Project_2023-11-10T09:58:06Z_2023-11-10T10:58:33Z,Project,2023-11-10T09:58:06Z,2023-11-10T10:58:33Z,1.01,add fetch client to lambdas
Project_2023-11-10T10:58:45Z_2023-11-10T11:52:36Z,Project,2023-11-10T10:58:45Z,2023-11-10T11:52:36Z,0.9,refactor code-metrics-lambda
Project_2023-11-13T18:30:00Z_2023-11-13T20:11:16Z,Project,2023-11-13T18:30:00Z,2023-11-13T20:11:16Z,1.69,refactor code-metrics-lambda
Project_2023-11-14T17:39:00Z_2023-11-14T17:56:34Z,Project,2023-11-14T17:39:00Z,2023-11-14T17:56:34Z,0.29,refactor code-metrics-lambda
Project_2023-11-16T17:18:37Z_2023-11-16T17:38:47Z,Project,2023-11-16T17:18:37Z,2023-11-16T17:38:47Z,0.34,refactor code-metrics-lambda
Project_2023-11-16T17:38:58Z_2023-11-16T20:19:14Z,Project,2023-11-16T17:38:58Z,2023-11-16T20:19:14Z,2.67,refactor code metrics FE
Project_2023-11-16T20:44:19Z_2023-11-16T21:10:56Z,Project,2023-11-16T20:44:19Z,2023-11-16T21:10:56Z,0.44,refactor code metrics FE
Project_2023-11-17T10:14:36Z_2023-11-17T16:22:53Z,Project,2023-11-17T10:14:36Z,2023-11-17T16:22:53Z,6.14,refactor code metrics FE
Project_2023-11-17T16:22:55Z_2023-11-17T19:01:04Z,Project,2023-11-17T16:22:55Z,2023-11-17T19:01:04Z,2.64,refactor code-metrics-lambda
Project_2023-11-19T19:08:45Z_2023-11-19T20:15:45Z,Project,2023-11-19T19:08:45Z,2023-11-19T20:15:45Z,1.12,refactor code metrics FE
Blogging_2023-11-20T17:30:17Z_2023-11-20T19:30:37Z,Blogging,2023-11-20T17:30:17Z,2023-11-20T19:30:37Z,2.01,jest parameterization post
Blogging_2023-11-21T17:00:48Z_2023-11-21T19:27:38Z,Blogging,2023-11-21T17:00:48Z,2023-11-21T19:27:38Z,2.45,jest parameterization post
Project_2023-11-23T18:00:46Z_2023-11-23T19:46:46Z,Project,2023-11-23T18:00:46Z,2023-11-23T19:46:46Z,1.77,lambda mono repo chores
Blogging_2023-11-23T20:47:27Z_2023-11-23T21:13:06Z,Blogging,2023-11-23T20:47:27Z,2023-11-23T21:13:06Z,0.43,improving past blog posts
Project_2023-11-24T10:20:28Z_2023-11-24T11:07:30Z,Project,2023-11-24T10:20:28Z,2023-11-24T11:07:30Z,0.78,lambda mono repo chores
Project_2023-11-27T18:05:35Z_2023-11-27T19:12:55Z,Project,2023-11-27T18:05:35Z,2023-11-27T19:12:55Z,1.12,lambda mono repo chores
Project_2023-11-28T18:33:49Z_2023-11-28T19:22:09Z,Project,2023-11-28T18:33:49Z,2023-11-28T19:22:09Z,0.81,refactor code-metrics-lambda
Project_2023-11-29T17:11:09Z_2023-11-29T18:37:24Z,Project,2023-11-29T17:11:09Z,2023-11-29T18:37:24Z,1.44,refactor code metrics FE
Project_2023-11-30T16:30:12Z_2023-11-30T18:48:33Z,Project,2023-11-30T16:30:12Z,2023-11-30T18:48:33Z,2.31,refactor code-metrics-lambda
Project_2023-12-04T15:10:56Z_2023-12-04T16:15:00Z,Project,2023-12-04T15:10:56Z,2023-12-04T16:15:00Z,1.07,refactor code-metrics-lambda
Project_2023-12-07T20:46:12Z_2023-12-07T21:48:45Z,Project,2023-12-07T20:46:12Z,2023-12-07T21:48:45Z,1.04,refactor code metrics FE
Exercise_2023-12-08T18:45:00Z_2023-12-08T19:52:59Z,Exercise,2023-12-08T18:45:00Z,2023-12-08T19:52:59Z,1.13,advent of code
Project_2023-12-10T18:27:39Z_2023-12-10T19:28:24Z,Project,2023-12-10T18:27:39Z,2023-12-10T19:28:24Z,1.01,refactor code metrics FE
Project_2023-12-11T17:08:14Z_2023-12-11T17:51:13Z,Project,2023-12-11T17:08:14Z,2023-12-11T17:51:13Z,0.72,refactor code metrics FE
Exercise_2023-12-11T18:13:16Z_2023-12-11T19:03:00Z,Exercise,2023-12-11T18:13:16Z,2023-12-11T19:03:00Z,0.83,advent of code
Exercise_2023-12-12T12:00:00Z_2023-12-12T13:00:00Z,Exercise,2023-12-12T12:00:00Z,2023-12-12T13:00:00Z,1.0,advent of code
Exercise_2023-12-12T16:41:39Z_2023-12-12T16:58:12Z,Exercise,2023-12-12T16:41:39Z,2023-12-12T16:58:12Z,0.28,advent of code
Exercise_2023-12-12T21:00:28Z_2023-12-12T21:30:28Z,Exercise,2023-12-12T21:00:28Z,2023-12-12T21:30:28Z,0.5,advent of code
Exercise_2023-12-13T09:00:00Z_2023-12-13T10:00:00Z,Exercise,2023-12-13T09:00:00Z,2023-12-13T10:00:00Z,1.0,advent of code
