activity_start_end,activity_type,start,end,duration,description
Study_2023-08-18T19:55:57Z_2023-08-18T20:17:29Z,Study,2023-08-18T19:55:57Z,2023-08-18T20:17:29Z,0.36,python imports
Exercise_2023-08-20T17:46:05Z_2023-08-20T19:46:23Z,Exercise,2023-08-20T17:46:05Z,2023-08-20T19:46:23Z,2.0,python exercises
Project_2023-08-20T20:30:52Z_2023-08-20T22:24:03Z,Project,2023-08-20T20:30:52Z,2023-08-20T22:24:03Z,1.89,create lambdas monorepo
Project_2023-08-21T06:55:00Z_2023-08-21T08:00:00Z,Project,2023-08-21T06:55:00Z,2023-08-21T08:00:00Z,1.08,create lambdas monorepo
Project_2023-08-21T13:43:12Z_2023-08-21T14:39:26Z,Project,2023-08-21T13:43:12Z,2023-08-21T14:39:26Z,0.94,create lambdas monorepo
Project_2023-08-21T18:28:45Z_2023-08-21T19:32:45Z,Project,2023-08-21T18:28:45Z,2023-08-21T19:32:45Z,1.07,meridian
Project_2023-08-21T19:32:51Z_2023-08-21T19:55:28Z,Project,2023-08-21T19:32:51Z,2023-08-21T19:55:28Z,0.38,google sheets lambda
Study_2023-08-21T20:50:04Z_2023-08-21T21:30:44Z,Study,2023-08-21T20:50:04Z,2023-08-21T21:30:44Z,0.68,memory addresses
Project_2023-08-22T15:01:53Z_2023-08-22T16:25:38Z,Project,2023-08-22T15:01:53Z,2023-08-22T16:25:38Z,1.4,google sheets lambda
Project_2023-08-23T16:01:49Z_2023-08-23T17:58:13Z,Project,2023-08-23T16:01:49Z,2023-08-23T17:58:13Z,1.94,google sheets lambda
Blogging_2023-08-23T20:36:01Z_2023-08-23T21:12:37Z,Blogging,2023-08-23T20:36:01Z,2023-08-23T21:12:37Z,0.61,updating blogs
Blogging_2023-08-23T21:12:39Z_2023-08-23T21:24:12Z,Blogging,2023-08-23T21:12:39Z,2023-08-23T21:24:12Z,0.19,updating blogs
Project_2023-08-24T12:53:33Z_2023-08-24T13:22:01Z,Project,2023-08-24T12:53:33Z,2023-08-24T13:22:01Z,0.47,google sheets lambda
Project_2023-08-24T20:24:11Z_2023-08-24T21:02:11Z,Project,2023-08-24T20:24:11Z,2023-08-24T21:02:11Z,0.63,google sheets lambda
Study_2023-08-25T07:03:07Z_2023-08-25T08:00:00Z,Study,2023-08-25T07:03:07Z,2023-08-25T08:00:00Z,0.95,memory addresses
Project_2023-08-25T10:13:03Z_2023-08-25T14:18:00Z,Project,2023-08-25T10:13:03Z,2023-08-25T14:18:00Z,4.08,google sheets lambda
Project_2023-08-26T13:50:28Z_2023-08-26T15:57:55Z,Project,2023-08-26T13:50:28Z,2023-08-26T15:57:55Z,2.12,google sheets lambda
Project_2023-08-27T20:12:32Z_2023-08-27T21:18:32Z,Project,2023-08-27T20:12:32Z,2023-08-27T21:18:32Z,1.1,google sheets lambda
Study_2023-08-28T08:36:40Z_2023-08-28T09:30:00Z,Study,2023-08-28T08:36:40Z,2023-08-28T09:30:00Z,0.89,python lambdas
Project_2023-08-28T10:10:45Z_2023-08-28T12:19:23Z,Project,2023-08-28T10:10:45Z,2023-08-28T12:19:23Z,2.14,google sheets lambda
Project_2023-08-28T15:18:13Z_2023-08-28T17:00:00Z,Project,2023-08-28T15:18:13Z,2023-08-28T17:00:00Z,1.7,google sheets lambda
Project_2023-08-28T18:57:11Z_2023-08-28T20:27:34Z,Project,2023-08-28T18:57:11Z,2023-08-28T20:27:34Z,1.51,google sheets lambda
Project_2023-08-30T09:38:06Z_2023-08-30T10:38:09Z,Project,2023-08-30T09:38:06Z,2023-08-30T10:38:09Z,1.0,save articles lambda
Project_2023-08-30T17:44:15Z_2023-08-30T18:37:50Z,Project,2023-08-30T17:44:15Z,2023-08-30T18:37:50Z,0.89,save articles lambda
Project_2023-08-30T20:28:12Z_2023-08-30T21:00:12Z,Project,2023-08-30T20:28:12Z,2023-08-30T21:00:12Z,0.53,save articles lambda
Study_2023-08-31T19:44:28Z_2023-08-31T20:45:00Z,Study,2023-08-31T19:44:28Z,2023-08-31T20:45:00Z,1.01,list and dictionary methods
